Request url : http://localhost:8000/model/imbd/classify | Status -> 200 | duration : 0.1716ms | time: Friday September 26, 2025 at 09:30:13 AM
Request url : http://localhost:8000/model/imbd/classify | Status -> 200 | duration : 0.1709ms | time: Friday September 26, 2025 at 09:30:27 AM
Request url : http://localhost:8000/model/imbd/classify | Status -> 200 | duration : 0.1531ms | time: Friday September 26, 2025 at 09:30:37 AM
Request url : http://localhost:8000/model/imbd/classify | Status -> 200 | duration : 0.1132ms | time: Friday September 26, 2025 at 09:30:48 AM
Request url : http://localhost:8000/model/imbd/classify | Status -> 200 | duration : 0.1541ms | time: Friday September 26, 2025 at 09:31:22 AM
Request url : http://localhost:8000/model/imbd/classify | Status -> 200 | duration : 0.3686ms | time: Friday September 26, 2025 at 09:37:09 AM
Request url : http://localhost:8000/model/imbd/classify | Status -> 200 | duration : 0.1634ms | time: Friday September 26, 2025 at 09:37:29 AM
Request url : http://localhost:8000/model/imbd/classify | Status -> 200 | duration : 0.3491ms | time: Friday September 26, 2025 at 09:48:20 AM
Request url : http://localhost:8000/model/imbd/classify | Status -> 200 | duration : 0.2127ms | time: Friday September 26, 2025 at 09:48:34 AM
Request url : http://localhost:8000/model/imbd/classify | Status -> 200 | duration : 0.2050ms | time: Friday September 26, 2025 at 09:48:54 AM
